transaction_id,bank_reference,transaction_date,amount,currency,transaction_type,customer_reference,status
BTX_0001,BNKREF_42098,2024-09-10,6010.89,INR,payment,CUS_0071,completed
BTX_0002,BNKREF_87397,2024-09-17,44662.89,INR,payment,CUS_0023,completed
BTX_0003,BNKREF_83563,2024-08-15,25515.09,INR,payment,CUS_0007,completed
BTX_0004,BNKREF_10851,2024-08-27,11411.81,INR,payment,CUS_0072,completed
BTX_0005,BNKREF_54118,2024-08-22,14254.63,INR,payment,CUS_0056,completed
BTX_0006,BNKREF_15695,2024-09-24,17525.81,INR,payment,CUS_0068,completed
BTX_0007,BNKREF_48427,2024-09-29,19237.45,INR,payment,CUS_0142,completed
BTX_0008,BNKREF_16006,2024-08-24,29078.93,INR,payment,CUS_0018,completed
BTX_0009,BNKREF_59823,2024-09-24,12023.15,INR,payment,CUS_0026,completed
BTX_0010,BNKREF_97841,2024-08-11,18823.96,INR,payment,CUS_0054,completed
BTX_0011,BNKREF_42087,2024-09-08,31931.43,INR,payment,CUS_0137,completed
BTX_0012,BNKREF_38785,2024-09-29,32179.99,INR,payment,CUS_0143,completed
BTX_0013,BNKREF_45093,2024-08-03,40349.77,INR,payment,CUS_0103,completed
BTX_0014,BNKREF_61856,2024-08-21,11025.01,INR,payment,CUS_0128,completed
BTX_0015,BNKREF_80644,2024-08-17,7411.7,INR,payment,CUS_0144,completed
BTX_0016,BNKREF_28131,2024-09-07,20270.33,INR,payment,CUS_0057,completed
BTX_0017,BNKREF_99192,2024-09-25,5927.63,INR,payment,CUS_0041,completed
BTX_0018,BNKREF_42953,2024-09-08,49808.01,INR,payment,CUS_0136,completed
BTX_0019,BNKREF_44973,2024-08-08,34244.66,INR,payment,CUS_0138,completed
BTX_0020,BNKREF_44522,2024-08-28,8328.81,INR,payment,CUS_0001,completed
BTX_0021,BNKREF_93748,2024-08-07,43590.67,INR,payment,CUS_0077,completed
BTX_0022,BNKREF_10074,2024-09-18,8496.68,INR,payment,CUS_0136,completed
