settlement_id,payment_id,settlement_date,gross_amount,fee,tax,net_amount,status
STL_0001,PAY_0001,2024-09-13,6010.89,123.3,22.19,5865.400000000001,processed
STL_0002,PAY_0002,2024-09-18,44662.89,914.18,164.55,43584.159999999996,processed
STL_0003,PAY_0003,2024-08-18,25515.09,599.77,107.96,24807.36,processed
STL_0004,PAY_0004,2024-08-28,11411.81,268.07,48.25,11095.49,processed
STL_0005,PAY_0005,2024-08-24,14254.63,291.99,52.56,13910.08,processed
STL_0006,PAY_0006,2024-09-27,17525.81,361.45,65.06,17099.3,processed
STL_0007,PAY_0007,2024-10-02,19237.45,469.92,84.59,18682.940000000002,processed
STL_0008,PAY_0008,2024-08-26,29078.93,724.82,130.47,28223.64,processed
STL_0009,PAY_0009,2024-09-27,12023.15,290.61,52.31,11680.23,processed
STL_0010,PAY_0010,2024-08-14,18823.96,437.47,78.74,18307.749999999996,processed
STL_0011,PAY_0011,2024-09-10,31931.43,681.73,122.71,31126.99,processed
STL_0012,PAY_0012,2024-09-30,32179.99,680.45,122.48,31377.06,processed
STL_0013,PAY_0013,2024-08-06,40349.77,983.8,177.08,39188.88999999999,processed
STL_0014,PAY_0014,2024-08-24,11025.01,245.79,44.24,10734.98,processed
STL_0015,PAY_0015,2024-08-20,7411.7,164.11,29.54,7218.05,processed
STL_0016,PAY_0016,2024-09-08,20270.33,482.01,86.76,19701.560000000005,processed
STL_0017,PAY_0017,2024-09-26,5927.63,129.96,23.39,5774.28,processed
STL_0018,PAY_0018,2024-09-09,49808.01,1165.58,209.8,48432.63,processed
STL_0019,PAY_0019,2024-08-10,34244.66,703.99,126.72,33413.950000000004,processed
STL_0020,PAY_0020,2024-08-29,8328.81,187.72,33.79,8107.299999999999,processed
STL_0021,PAY_0021,2024-08-08,43590.67,905.13,162.92,42522.62,processed
STL_0022,PAY_0022,2024-09-20,8496.68,170.76,30.74,8295.18,processed
STL_0023,PAY_0023,2024-10-02,18467.55,456.79,82.22,17928.539999999997,processed
STL_0024,PAY_0024,2024-08-07,36729.43,855.75,154.03,35719.65,processed
STL_0025,PAY_0025,2024-10-02,27715.28,687.94,123.83,26903.51,processed
STL_0026,PAY_0026,2024-10-02,27195.16,632.27,113.81,26449.079999999998,processed
STL_0027,PAY_0027,2024-08-30,45030.9,976.74,175.81,43878.350000000006,processed
STL_0028,PAY_0028,2024-09-10,27919.12,566.6,101.99,27250.53,processed
STL_0029,PAY_0029,2024-08-07,45318.29,1057.95,190.43,44069.91,processed
STL_0030,PAY_0030,2024-08-16,27192.08,653.63,117.65,26420.8,processed
STL_0031,PAY_0031,2024-08-15,5169.13,125.71,22.63,5020.79,processed
STL_0032,PAY_0032,2024-08-06,33831.55,812.06,146.17,32873.32000000001,processed
STL_0033,PAY_0033,2024-08-09,12808.49,267.92,48.23,12492.34,processed
STL_0034,PAY_0034,2024-09-02,12865.42,263.61,47.45,12554.359999999999,processed
STL_0035,PAY_0035,2024-09-12,49964.48,1040.84,187.35,48736.29000000001,processed
STL_0036,PAY_0036,2024-09-02,24327.24,606.39,109.15,23611.7,processed
STL_0037,PAY_0037,2024-08-20,46362.64,1158.0,208.44,44996.2,processed
STL_0038,PAY_0038,2024-09-06,33262.63,826.36,148.74,32287.529999999995,processed
STL_0039,PAY_0039,2024-09-10,36918.99,826.39,148.75,35943.85,processed
STL_0040,PAY_0040,2024-09-29,42709.63,1036.0,186.48,41487.149999999994,processed
STL_0041,PAY_0041,2024-08-08,29954.24,635.96,114.47,29203.81,processed
STL_0042,PAY_0042,2024-09-11,2467.21,55.79,10.04,2401.38,processed
STL_0043,PAY_0043,2024-09-30,13407.9,313.19,56.37,13038.339999999998,processed
STL_0044,PAY_0044,2024-08-23,23132.62,577.86,104.01,22450.75,processed
STL_0045,PAY_0045,2024-08-07,27112.9,661.67,119.1,26332.130000000005,processed
STL_0046,PAY_0046,2024-09-29,12592.08,296.14,53.31,12242.630000000001,processed
STL_0047,PAY_0047,2024-09-12,49200.74,1057.66,190.38,47952.7,processed
STL_0048,PAY_0048,2024-09-13,5627.53,133.44,24.02,5470.07,processed
STL_0049,PAY_0049,2024-08-13,13981.24,339.25,61.06,13580.93,processed
STL_0050,PAY_0050,2024-09-04,24682.33,499.09,89.84,24093.4,processed
STL_0051,PAY_0051,2024-08-25,38670.4,909.85,163.77,37596.780000000006,processed
STL_0052,PAY_0052,2024-09-07,978.65,22.42,4.04,952.19,processed
STL_0053,PAY_0053,2024-08-11,21774.44,533.36,96.0,21145.079999999998,processed
STL_0054,PAY_0054,2024-08-16,34262.3,852.08,153.37,33256.85,processed
STL_0055,PAY_0055,2024-09-18,8150.39,198.93,35.81,7915.65,processed
STL_0056,PAY_0056,2024-08-05,9378.35,225.58,40.6,9112.17,processed
STL_0057,PAY_0057,2024-08-20,8380.29,176.93,31.85,8171.51,processed
STL_0058,PAY_0058,2024-09-23,45963.37,970.5,174.69,44818.18,processed
STL_0059,PAY_0059,2024-09-14,10059.92,218.86,39.39,9801.67,processed
STL_0060,PAY_0060,2024-09-03,20284.08,494.63,89.03,19700.420000000002,processed
STL_0061,PAY_0061,2024-08-19,9339.11,202.92,36.53,9099.66,processed
STL_0062,PAY_0062,2024-09-23,16027.03,335.77,60.44,15630.82,processed
STL_0063,PAY_0063,2024-08-06,35584.87,833.91,150.1,34600.86,processed
STL_0064,PAY_0064,2024-10-03,37226.53,915.92,164.87,36145.74,processed
STL_0065,PAY_0065,2024-09-12,16038.82,353.53,63.64,15621.65,processed
STL_0066,PAY_0066,2024-08-29,35011.82,864.86,155.67,33991.29,processed
STL_0067,PAY_0067,2024-09-15,37532.66,853.48,153.63,36525.55,processed
STL_0068,PAY_0068,2024-08-04,15541.81,361.71,65.11,15114.99,processed
